team,type,line,american,decimal,impliedProb,n,successes,fails,ties,successRate,failRate,tieRate,ev
DEN Broncos,UNDER,4.5,700,8,0.125,100000,4595,95405,0,0.04595,0.95405,0,-0.6324
DEN Broncos,OVER,5.5,-550,1.18181819,0.846153840295858,100000,89041,10959,0,0.89041,0.10959,0,0.05230273455789998
DEN Broncos,UNDER,5.5,400,5,0.2,100000,10959,89041,0,0.10959,0.89041,0,-0.45205
DEN Broncos,OVER,6.5,-300,1.33333334,0.74999999625,100000,78604,21396,0,0.78604,0.21396,0,0.04805333857360003
DEN Broncos,UNDER,6.5,235,3.35,0.29850746268656714,100000,21396,78604,0,0.21396,0.78604,0,-0.2832339999999999
DEN Broncos,OVER,7.5,-165,1.60606061,0.6226415079067283,100000,64123,35877,0,0.64123,0.35877,0,0.02985424495030009
DEN Broncos,UNDER,7.5,130,2.3,0.4347826086956522,100000,35877,64123,0,0.35877,0.64123,0,-0.17482900000000007
DEN Broncos,OVER,8.5,-110,1.90909091,0.5238095235600907,100000,47133,52867,0,0.47133,0.52867,0,-0.10018818138969998
DEN Broncos,UNDER,8.5,-110,1.90909091,0.5238095235600907,100000,52867,47133,0,0.52867,0.47133,0,0.009279091389699956
DEN Broncos,OVER,9.5,175,2.75,0.36363636363636365,100000,30709,69291,0,0.30709,0.69291,0,-0.1555025000000001
DEN Broncos,UNDER,9.5,-215,1.46511628,0.682539682106324,100000,69291,30709,0,0.69291,0.30709,0,0.015193721574799979
DEN Broncos,OVER,10.5,300,4,0.25,100000,17136,82864,0,0.17136,0.82864,0,-0.31455999999999995
DEN Broncos,UNDER,10.5,-400,1.25,0.8,100000,82864,17136,0,0.82864,0.17136,0,0.0358
DEN Broncos,OVER,11.5,500,6,0.16666666666666666,100000,8269,91731,0,0.08269,0.91731,0,-0.50386
DEN Broncos,UNDER,11.5,-750,1.13333334,0.8823529359861592,100000,91731,8269,0,0.91731,0.08269,0,0.03961800611540006
DEN Broncos,OVER,12.5,800,9,0.1111111111111111,100000,3184,96816,0,0.03184,0.96816,0,-0.7134400000000001
DEN Broncos,UNDER,12.5,-1400,1.07142858,0.9333333258666666,100000,96816,3184,0,0.96816,0.03184,0,0.03731429401280007
DEN Broncos,OVER,13.5,1400,15,0.06666666666666667,100000,907,99093,0,0.00907,0.99093,0,-0.86395
DEN Broncos,UNDER,13.5,-5000,1.02,0.9803921568627451,100000,99093,907,0,0.99093,0.00907,0,0.010748600000000016
DET Lions,OVER,5.5,-1600,1.0625,0.9411764705882353,100000,93695,6305,0,0.93695,0.06305,0,-0.004490624999999998
DET Lions,UNDER,5.5,750,8.5,0.11764705882352941,100000,6305,93695,0,0.06305,0.93695,0,-0.464075
DET Lions,OVER,6.5,-650,1.15384616,0.8666666620444444,100000,86215,13785,0,0.86215,0.13785,0,-0.005211533155999953
DET Lions,UNDER,6.5,425,5.25,0.19047619047619047,100000,13785,86215,0,0.13785,0.86215,0,-0.2762875
DET Lions,OVER,7.5,-360,1.27777778,0.7826086942911152,100000,74453,25547,0,0.74453,0.25547,0,-0.0486561094565999
DET Lions,UNDER,7.5,260,3.6,0.2777777777777778,100000,25547,74453,0,0.25547,0.74453,0,-0.08030800000000005
DET Lions,OVER,8.5,-185,1.54054055,0.6491228030317021,100000,58682,41318,0,0.58682,0.41318,0,-0.09597999444899996
DET Lions,UNDER,8.5,150,2.5,0.4,100000,41318,58682,0,0.41318,0.58682,0,0.032949999999999924
DET Lions,OVER,9.5,-120,1.83333334,0.5454545434710744,100000,41401,58599,0,0.41401,0.58599,0,-0.24098166390660003
DET Lions,UNDER,9.5,100,2,0.5,100000,58599,41401,0,0.58599,0.41401,0,0.17198000000000002
DET Lions,OVER,10.5,155,2.55,0.3921568627450981,100000,25493,74507,0,0.25493,0.74507,0,-0.3499285000000001
DET Lions,UNDER,10.5,-190,1.52631579,0.6551724135671819,100000,74507,25493,0,0.74507,0.25493,0,0.13721210565529995
DET Lions,OVER,11.5,275,3.75,0.26666666666666666,100000,13315,86685,0,0.13315,0.86685,0,-0.5006875000000001
DET Lions,UNDER,11.5,-390,1.25641026,0.7959183650728863,100000,86685,13315,0,0.86685,0.13315,0,0.08911923388100002
DET Lions,OVER,12.5,550,6.5,0.15384615384615385,100000,5726,94274,0,0.05726,0.94274,0,-0.62781
DET Lions,UNDER,12.5,-800,1.125,0.8888888888888888,100000,94274,5726,0,0.94274,0.05726,0,0.060582500000000004
DET Lions,OVER,13.5,900,10,0.1,100000,1981,98019,0,0.01981,0.98019,0,-0.8019000000000001
DET Lions,UNDER,13.5,-2500,1.04,0.9615384615384615,100000,98019,1981,0,0.98019,0.01981,0,0.019397600000000036
GB Packers,OVER,3.5,-2000,1.05,0.9523809523809523,100000,97368,2632,0,0.97368,0.02632,0,0.02236400000000004
GB Packers,UNDER,3.5,800,9,0.1111111111111111,100000,2632,97368,0,0.02632,0.97368,0,-0.76312
GB Packers,OVER,4.5,-650,1.15384616,0.8666666620444444,100000,92990,7010,0,0.9299,0.0701,0,0.07296154418400005
GB Packers,UNDER,4.5,450,5.5,0.18181818181818182,100000,7010,92990,0,0.0701,0.9299,0,-0.6144499999999999
GB Packers,OVER,5.5,-350,1.28571429,0.7777777751851852,100000,85046,14954,0,0.85046,0.14954,0,0.09344857507340001
GB Packers,UNDER,5.5,265,3.65,0.273972602739726,100000,14954,85046,0,0.14954,0.85046,0,-0.454179
GB Packers,OVER,6.5,-185,1.54054055,0.6491228030317021,100000,72771,27229,0,0.72771,0.27229,0,0.12106676364050001
GB Packers,UNDER,6.5,150,2.5,0.4,100000,27229,72771,0,0.27229,0.72771,0,-0.319275
GB Packers,OVER,7.5,-120,1.83333334,0.5454545434710744,100000,57382,42618,0,0.57382,0.42618,0,0.05200333715880001
GB Packers,UNDER,7.5,100,2,0.5,100000,42618,57382,0,0.42618,0.57382,0,-0.14764
GB Packers,OVER,8.5,165,2.65,0.37735849056603776,100000,40761,59239,0,0.40761,0.59239,0,0.08016649999999992
GB Packers,UNDER,8.5,-200,1.5,0.6666666666666666,100000,59239,40761,0,0.59239,0.40761,0,-0.11141499999999999
GB Packers,OVER,9.5,275,3.75,0.26666666666666666,100000,25613,74387,0,0.25613,0.74387,0,-0.03951249999999995
